date,daily_pnl,fg_value,sentiment
2024-12-19,62744.004486000005,75,Extreme Greed
2024-12-20,254969.660039,74,Greed
2024-12-21,150022.163157,73,Greed
2024-12-22,352197.163973,73,Greed
2024-12-23,-29430.626577,70,Greed
2024-12-24,14813.780116,73,Greed
2024-12-25,756.6570469999998,73,Greed
2024-12-26,60228.639722,79,Extreme Greed
2024-12-27,2672.811035,74,Greed
2024-12-28,940.673623,72,Greed
2024-12-29,2884.067927,73,Greed
2024-12-30,9009.738137,65,Greed
2024-12-31,5445.01281,64,Greed
2025-01-01,-9528.065345,66,Greed
2025-01-02,8716.519087,70,Greed
2025-01-03,6028.486793,74,Greed
2025-01-04,2553.537968,73,Greed
2025-01-05,3187.719363,72,Greed
2025-01-06,6064.185393,76,Extreme Greed
2025-01-07,16098.227531,78,Extreme Greed
2025-01-08,130117.090554,70,Greed
2025-01-09,46975.928902,69,Greed
2025-01-10,-10116.875552,50,Neutral
2025-01-11,2269.080536,69,Greed
2025-01-12,5742.241803,62,Greed
2025-01-13,9655.429352,61,Greed
2025-01-14,16069.512355,63,Greed
2025-01-15,14819.5883,70,Greed
2025-01-16,20807.709328,75,Extreme Greed
2025-01-17,7006.415608,75,Extreme Greed
2025-01-18,443.2330819999997,77,Extreme Greed
2025-01-19,87923.799302,77,Extreme Greed
2025-01-20,87277.239173,76,Extreme Greed
2025-01-21,11077.839421,76,Extreme Greed
2025-01-22,20524.408057,84,Extreme Greed
2025-01-23,101256.24216,75,Extreme Greed
2025-01-24,10602.779738,75,Extreme Greed
2025-01-25,-10348.016255999999,75,Extreme Greed
2025-01-26,40823.466668,73,Greed
2025-01-27,41331.765392,71,Greed
2025-01-28,17979.613973,72,Greed
2025-01-29,23421.01147,72,Greed
2025-01-30,23097.471385,70,Greed
2025-01-31,35868.296773,76,Extreme Greed
2025-02-01,32300.205017,68,Greed
2025-02-02,162854.759623,60,Greed
2025-02-03,348871.326269,44,Fear
2025-02-04,416876.88812,72,Greed
2025-02-05,56706.235562,54,Neutral
2025-02-06,33803.799733,49,Neutral
2025-02-07,22450.002091,44,Fear
2025-02-08,586.703253,44,Fear
2025-02-09,150551.829492,46,Neutral
2025-02-10,63908.49465,43,Fear
2025-02-11,-6093.784817,47,Neutral
2025-02-12,19848.635032,46,Neutral
2025-02-13,27829.534238,50,Neutral
2025-02-14,213860.675308,48,Neutral
2025-02-15,45042.92701,50,Neutral
2025-02-16,2369.478425,54,Neutral
2025-02-17,1818.573295,51,Neutral
2025-02-18,91204.672403,47,Neutral
2025-02-19,14985.794701,44,Fear
2025-02-20,46008.794102,49,Neutral
2025-02-21,119693.49395,55,Greed
2025-02-22,25278.704178,49,Neutral
2025-02-23,10656.934251,50,Neutral
2025-02-24,38470.176242,49,Neutral
2025-02-25,204762.177034,25,Fear
2025-02-26,63229.063129,21,Extreme Fear
2025-02-27,-36525.167517,10,Extreme Fear
2025-02-28,225628.108748,16,Extreme Fear
2025-03-01,10596.108968,20,Extreme Fear
2025-03-02,66914.320708,26,Fear
2025-03-03,616413.032233,33,Fear
2025-03-04,182075.566585,15,Extreme Fear
2025-03-05,269328.365917,20,Extreme Fear
2025-03-06,16101.125561,25,Fear
2025-03-07,150236.061627,34,Fear
2025-03-08,24700.773359,28,Fear
2025-03-09,19773.457395,27,Fear
2025-03-10,-10010.027269999999,20,Extreme Fear
2025-03-11,-76880.729036,24,Extreme Fear
2025-03-12,288105.984215,34,Fear
2025-03-13,14114.870873,45,Neutral
2025-03-14,68646.160089,27,Fear
2025-03-15,78694.624572,46,Neutral
